"","x","vol","protein","absorbance"
"1226",613,14.7027027027027,"a280",26.7953640531643
"1227",614,14.7267267267267,"a254",67.8299567480559
"1228",614,14.7267267267267,"a280",28.8809991321336
"1229",615,14.7507507507508,"a254",76.9433983066132
"1230",615,14.7507507507508,"a280",31.5122633036592
"1231",616,14.7747747747748,"a254",84.9369800690185
"1232",616,14.7747747747748,"a280",32.8576947959735
"1233",617,14.7987987987988,"a254",90.7784240577529
"1234",617,14.7987987987988,"a280",33.9812078161411
"1235",618,14.8228228228228,"a254",94.0659883058427
"1236",618,14.8228228228228,"a280",34.8297416206677
"1237",619,14.8468468468468,"a254",95.2040824549022
"1238",619,14.8468468468468,"a280",34.8121983342837
"1239",620,14.8708708708709,"a254",93.1137631079043
"1240",620,14.8708708708709,"a280",34.8359095202269
"1241",621,14.8948948948949,"a254",88.6088162460294
"1242",621,14.8948948948949,"a280",34.246767622254
"1243",622,14.9189189189189,"a254",81.8439002171893
"1244",622,14.9189189189189,"a280",32.5139728889605
"1245",623,14.9429429429429,"a254",73.5438833093061
"1246",623,14.9429429429429,"a280",31.1778093688568
"1247",624,14.966966966967,"a254",64.2799644632177
"1248",624,14.966966966967,"a280",29.9115828452068
"1249",625,14.990990990991,"a254",54.652139915
"1250",625,14.990990990991,"a280",28.3130708695964
"1251",626,15.015015015015,"a254",45.3896729098933
"1252",626,15.015015015015,"a280",27.1539454175107
"1253",627,15.039039039039,"a254",36.7389599463616
"1254",627,15.039039039039,"a280",26.3676534779321
"1255",628,15.0630630630631,"a254",29.3107138265737
"1256",628,15.0630630630631,"a280",26.3005949660129
"1257",629,15.0870870870871,"a254",23.3121740403936
"1258",629,15.0870870870871,"a280",27.5901222446765
"1259",630,15.1111111111111,"a254",18.6024580785938
"1260",630,15.1111111111111,"a280",29.2861497514592
"1261",631,15.1351351351351,"a254",14.8464301606916
"1262",631,15.1351351351351,"a280",32.4031366985107
"1263",632,15.1591591591592,"a254",12.2402419650106
"1264",632,15.1591591591592,"a280",37.324447390075
"1265",633,15.1831831831832,"a254",10.7215770645844
"1266",633,15.1831831831832,"a280",42.3103457728147
"1267",634,15.2072072072072,"a254",9.92238771644144
"1268",634,15.2072072072072,"a280",48.8018663036127
"1269",635,15.2312312312312,"a254",9.8503342281793
"1270",635,15.2312312312312,"a280",55.117918733217
"1271",636,15.2552552552553,"a254",9.50416630213434
"1272",636,15.2552552552553,"a280",61.4824117694848
"1273",637,15.2792792792793,"a254",9.94023126459225
"1274",637,15.2792792792793,"a280",67.5311498991112
"1275",638,15.3033033033033,"a254",9.91731332534937
"1276",638,15.3033033033033,"a280",72.0804919300423
"1277",639,15.3273273273273,"a254",9.9543197316351
"1278",639,15.3273273273273,"a280",75.2039197972946
"1279",640,15.3513513513514,"a254",10.2542255266313
"1280",640,15.3513513513514,"a280",76.0348595490422
"1281",641,15.3753753753754,"a254",10.0802729638017
"1282",641,15.3753753753754,"a280",75.0403371738321
